"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iteratorType","Param: library","Param: shapeType","Param: sigma","Param: skipCenter","Param: useOutOfBounds"
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.035500,NaN,"us/op",,,RectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.899500,NaN,"us/op",,,CenteredRectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.454750,NaN,"us/op",,,RectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.901000,NaN,"us/op",,,CenteredRectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.959500,NaN,"us/op",,,DiamondShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.119000,NaN,"us/op",,,DiamondTipsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.923000,NaN,"us/op",,,HorizontalLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.501000,NaN,"us/op",,,HorizontalLineShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.182000,NaN,"us/op",,,HyperSphereShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.178750,NaN,"us/op",,,PairOfPointsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.145500,NaN,"us/op",,,PeriodicLineShape,,,
