"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iteratorType","Param: library","Param: optimized","Param: shapeType","Param: sigma","Param: skipCenter","Param: useOutOfBounds"
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,1158507.000000,0.045814,0.000229,"us/op",,,,CenteredRectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,1338938.000000,0.053952,0.016603,"us/op",,,,DiamondShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,1146810.000000,0.051767,0.015186,"us/op",,,,DiamondTipsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,1181908.000000,0.052085,0.017066,"us/op",,,,HorizontalLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,1166697.000000,0.047990,0.005385,"us/op",,,,HorizontalLineShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,750202.000000,0.047176,0.000301,"us/op",,,,HyperSphereShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,806243.000000,0.056565,0.007973,"us/op",,,,PairOfPointsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","sample",4,801961.000000,0.064158,0.031597,"us/op",,,,PeriodicLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.570000,NaN,"us/op",,,,RectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.537250,NaN,"us/op",,,,CenteredRectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.203250,NaN,"us/op",,,,RectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,3.623250,NaN,"us/op",,,,CenteredRectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.512500,NaN,"us/op",,,,DiamondShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,2.437250,NaN,"us/op",,,,DiamondTipsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.580250,NaN,"us/op",,,,HorizontalLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.922750,NaN,"us/op",,,,HorizontalLineShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,1.426000,NaN,"us/op",,,,HyperSphereShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,4.105750,NaN,"us/op",,,,PairOfPointsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","ss",4,1.000000,4.141750,NaN,"us/op",,,,PeriodicLineShape,,,
